Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_09_963.jpg;-12.00904;0;0;0;112.7568;151.6928;0.0002368578;102.8819;1.832836E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_029.jpg;-15;0;0;0;112.7568;151.6928;0.0002376712;100.3609;2.59102E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_096.jpg;-15;0;0;0;112.7568;151.6928;0.000238278;96.76089;3.406046E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_162.jpg;-15;0;0;0;112.7568;151.6928;0.00023828;94.06091;3.962056E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_228.jpg;-11.94906;0;0;0;112.7568;151.6928;0.0002384085;91.72418;4.208795E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_295.jpg;-8.990042;0;0;0;112.7568;151.6928;0.0002384905;89.38498;4.077595E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_364.jpg;-6.008414;0;0;0;112.7568;151.6928;0.000239056;88.21235;3.755451E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_429.jpg;-3.001089;0;0;0;112.7568;151.6928;0.0002390109;87.49265;3.051633E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_495.jpg;-0.008598045;0;0;0;112.7568;151.6928;0.0002416892;87.3119;1.934141E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_562.jpg;0;0;0;0;112.7568;151.6928;0.0002429447;87.3119;1.133117E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_628.jpg;0;0;0;0;112.7568;151.6928;0.0002441738;87.3119;4.447878E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_695.jpg;0;0;0;0;112.7568;151.6928;0.0002452362;87.3119;-4.434237E-06
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_761.jpg;0;0;0;0;112.7568;151.6928;0.000245369;87.3119;-1.009227E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_828.jpg;0;0;0;0;112.7568;151.6928;0.0002461202;87.3119;-1.480505E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_895.jpg;0;0;0;0;112.7568;151.6928;0.0002462498;87.3119;-2.032971E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_10_962.jpg;0;0;0;0;112.7568;151.6928;0.0002456767;87.3119;-2.320208E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_028.jpg;0;0;0;0;112.7568;151.6928;0.000244663;87.3119;-2.549433E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_095.jpg;0;0;0;0;112.7568;151.6928;0.0002438425;87.3119;-2.692136E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_161.jpg;0;0;0;0;112.7568;151.6928;0.0002432023;87.3119;-2.693638E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_228.jpg;0;0;0;0;112.7568;151.6928;0.0002425465;87.3119;-2.628457E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_295.jpg;0;0;0;0;112.7568;151.6928;0.0002412278;87.3119;-2.467755E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_361.jpg;0;0;0;0;112.7568;151.6928;0.0002405584;87.3119;-2.34456E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_428.jpg;0;0;0;0;112.7568;151.6928;0.0002396679;87.3119;-2.189525E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_495.jpg;0;0;0;0;112.7568;151.6928;0.000237892;87.3119;-1.900127E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_561.jpg;0;0;0;0;112.7568;151.6928;0.0002365556;87.3119;-1.664073E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_628.jpg;0;-0.1992029;0;0;112.7568;151.6918;359.9768;87.3121;-1.410545E-05
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_695.jpg;0;-0.3990995;0;-0.01379647;112.7566;151.6891;359.9217;87.48138;0.0004849552
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_761.jpg;0;-0.5998209;0;-0.04517385;112.7564;151.6845;359.8306;87.37332;0.0002508021
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_828.jpg;0;-0.7998902;0;-0.07218686;112.7561;151.6774;359.6954;87.49313;0.0005261671
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_11_895.jpg;0;-0.8010629;0;-0.1171123;112.7555;151.6623;359.4289;87.55238;-0.0007327026
